# pair
86.900	0.347	86.818	-10.284	-5.129	-2.489	-5.7583	1.599       1.599      1.548      6.806      -0.740      3.919      -5.7286	1545.0359462271851498  -371338.88383159192745
86.888	0.342	86.816	-13.191	-4.358	-1.162	-5.7400	1.605       1.596      1.552      4.611      -4.665      2.775      -5.7405	1544.4443101887654848  -371337.82385069294833
86.873	0.338	86.816	-14.815	-3.343	-0.232	-5.7261	1.609       1.589      1.554      2.363      -8.483      1.488      -5.7566	1543.6043335689303149  -371336.58045250800205
86.858	0.335	86.816	-15.482	-2.166	0.140	-5.7134	1.610       1.579      1.555      0.092      -12.073      0.092      -5.7836	1542.8010870429723127  -371335.27638581657084
86.842	0.334	86.816	-15.775	-0.973	0.159	-5.7057	1.609       1.565      1.554      -2.183      -15.326      -1.411      -5.8238	1542.3777686449670909  -371333.67457045754418
86.826	0.333	86.816	-15.879	0.210	0.022	-5.7040	1.606       1.548      1.552      -4.445      -18.144      -3.032      -5.8696	1542.7950792572635237  -371332.44945096789161
86.811	0.334	86.816	-15.797	1.365	-0.269	-5.7084	1.600       1.529      1.548      -6.673      -20.451      -4.778      -5.9117	1544.107901278292502  -371331.82439988508122
86.795	0.336	86.815	-15.325	2.255	-0.705	-5.7173	1.592       1.507      1.542      -8.830      -22.204      -6.636      -5.9440	1545.4210134462457518  -371331.64121061761398
86.780	0.338	86.815	-14.299	2.670	-1.265	-5.7289	1.582       1.484      1.535      -10.879      -23.380      -8.562      -5.9713	1546.1666148984882057  -371329.53725197294261
86.766	0.341	86.813	-12.838	2.693	-1.920	-5.7464	1.570       1.461      1.525      -12.791      -23.971      -10.488      -5.9935	1547.0457453022640948  -371327.9336102399393
86.754	0.344	86.811	-11.085	2.431	-2.641	-5.7718	1.557       1.437      1.514      -14.545      -23.977      -12.335      -6.0085	1548.7310781294775097  -371326.81335154519184
86.744	0.346	86.808	-9.126	1.938	-3.416	-5.8049	1.541       1.413      1.501      -16.124      -23.415      -14.025      -6.0171	1550.8487746766011242  -371325.56552730023395
86.736	0.348	86.804	-6.694	1.246	-4.575	-5.8408	1.525       1.390      1.486      -17.514      -22.306      -15.490      -6.0197	1552.7739034091198391  -371324.07454094249988
86.731	0.349	86.799	-3.672	0.388	-6.296	-5.8821	1.506       1.368      1.470      -18.688      -20.669      -16.674      -6.0168	1554.4034301221390706  -371323.21579146070872
86.729	0.349	86.791	-0.451	-0.564	-8.280	-5.9340	1.487       1.348      1.452      -19.610      -18.535      -17.526      -6.0093	1555.3915844056909918  -371322.64764340233523
86.730	0.347	86.782	2.484	-1.426	-10.236	-5.9950	1.467       1.331      1.435      -20.230      -15.951      -18.014      -5.9961	1555.0982940879903254  -371321.58854045090266
86.734	0.346	86.771	4.574	-1.895	-11.874	-6.0535	1.447       1.316      1.416      -20.494      -12.981      -18.117      -5.9801	1553.2141756682362939  -371319.76678395230556
86.739	0.344	86.758	5.944	-1.848	-12.462	-6.0923	1.426       1.305      1.398      -20.354      -9.699      -17.821      -5.9623	1550.1837482208916299  -371318.51774932770059
86.745	0.342	86.746	7.082	-1.383	-11.503	-6.1054	1.406       1.297      1.381      -19.769      -6.174      -17.116      -5.9421	1547.0226176133696754  -371317.05360765731893
86.753	0.341	86.735	8.187	-0.634	-9.443	-6.0991	1.387       1.293      1.364      -18.706      -2.469      -15.994      -5.9174	1544.6752305479715233  -371315.5736188616138
86.762	0.341	86.727	9.310	0.231	-6.786	-6.0801	1.369       1.292      1.349      -17.143      1.366      -14.456      -5.8873	1543.6732591248246536  -371314.85971155524021
86.772	0.341	86.722	10.330	1.084	-3.811	-6.0544	1.352       1.295      1.335      -15.074      5.278      -12.521      -5.8468	1544.087506593154103  -371314.2293121102266
86.782	0.343	86.719	11.124	1.818	-0.785	-6.0287	1.338       1.303      1.324      -12.510      9.199      -10.232      -5.7983	1545.2769010071947378  -371313.92329307086766
