LJ_3n				
N	4000	R	1	30
394	3.849962491	135281.9805	417139.4111	
395	3.857214304	132256.9635	407061.0447	
396	3.864466117	129305.033	397244.336	
397	3.871717929	126424.2913	387682.0211	
398	3.878969742	123612.8938	378367.0508	
399	3.886221555	120869.0467	369292.584	
400	3.893473368	118191.006	360451.9807	
401	3.900725181	115577.0757	351838.7965	
402	3.907976994	113025.6065	343446.7757	
403	3.915228807	110534.9947	335269.846	
404	3.92248062	108103.6805	327302.1126	
405	3.929732433	105730.1468	319537.8525	
406	3.936984246	103412.9181	311971.5096	
407	3.944236059	101150.5591	304597.6892	
408	3.951487872	98941.67359	297411.1532	
409	3.958739685	96784.90354	290406.8152	
410	3.965991498	94678.92763	283579.7359	
411	3.973243311	92622.46043	276925.1186	
412	3.980495124	90614.25127	270438.3047	
413	3.987746937	88653.08327	264114.7695	
414	3.99499875	86737.77236	257950.1185	
415	4.002250563	84867.16635	251940.0828	
416	4.009502376	83040.14399	246080.5157	
417	4.016754189	81255.61412	240367.3891	
418	4.024006002	79512.51478	234796.7894	
419	4.031257814	77809.81238	229364.9146	
420	4.038509627	76146.50092	224068.0705	
421	4.04576144	74521.60118	218902.6677	
422	4.053013253	72934.15998	213865.2185	
423	4.060265066	71383.24942	208952.3336	
424	4.067516879	69867.96618	204160.7193	
425	4.074768692	68387.43083	199487.1746	
426	4.082020505	66940.78716	194928.5886	
427	4.089272318	65527.20149	190481.9374	
428	4.096524131	64145.86211	186144.2821	
429	4.103775944	62795.97859	181912.7658	
430	4.111027757	61476.78124	177784.6112	
431	4.11827957	60187.5205	173757.1185	
432	4.125531383	58927.46637	169827.6632	
433	4.132783196	57695.90793	165993.6932	
434	4.140035009	56492.15271	162252.7275	
435	4.147286822	55315.52628	158602.3536	
436	4.154538635	54165.37168	155040.2255	
437	4.161790448	53041.04896	151564.0622	
438	4.169042261	51941.93473	148171.6452	
439	4.176294074	50867.42168	144860.817	
440	4.183545886	49816.91813	141629.4794	
441	4.190797699	48789.84764	138475.5916	
442	4.198049512	47785.64855	135397.1685	
443	4.205301325	46803.77361	132392.2793	
444	4.212553138	45843.68956	129459.0457	
445	4.219804951	44904.87678	126595.6404	
446	4.227056764	43986.82887	123800.286	
447	4.234308577	43089.05235	121071.2531	
448	4.24156039	42211.06627	118406.8589	
449	4.248812203	41352.40188	115805.4665	
450	4.256064016	40512.6023	113265.4827	
451	4.263315829	39691.2222	110785.3575	
452	4.270567642	38887.82751	108363.5824	
453	4.277819455	38101.99508	105998.6894	
454	4.285071268	37333.31241	103689.2498	
455	4.292323081	36581.37737	101433.8733	
456	4.299574894	35845.79789	99231.20644	
457	4.306826707	35126.19174	97079.93198	
458	4.31407852	34422.18623	94978.76773	
459	4.321330333	33733.41798	92926.46553	
460	4.328582146	33059.53263	90921.81033	
461	4.335833958	32400.18467	88963.61925	
462	4.343085771	31755.03714	87050.74068	
463	4.350337584	31123.76145	85182.05339	
464	4.357589397	30506.03713	83356.46572	
465	4.36484121	29901.55164	81572.91469	
466	4.372093023	29310.00012	79830.36524	
467	4.379344836	28731.08524	78127.80947	
468	4.386596649	28164.51698	76464.26583	
469	4.393848462	27610.01243	74838.77845	
470	4.401100275	27067.2956	73250.41635	
471	4.408352088	26536.09728	71698.27286	
472	4.415603901	26016.15482	70181.46484	
473	4.422855714	25507.21196	68699.1321	
474	4.430107527	25009.01871	67250.43673	
475	4.43735934	24521.33112	65834.56253	
476	4.444611153	24043.91119	64450.71436	
477	4.451862966	23576.52666	63098.11761	
478	4.459114779	23118.95092	61776.0176	
479	4.466366592	22670.96279	60483.67907	
480	4.473618405	22232.34646	59220.38564	
481	4.480870218	21802.8913	57985.43927	
482	4.488122031	21382.39174	56778.15979	
483	4.495373843	20970.64715	55597.88442	
484	4.502625656	20567.46169	54443.96728	
485	4.509877469	20172.64422	53315.77892	
486	4.517129282	19786.00817	52212.70591	
487	4.524381095	19407.37139	51134.15041	
488	4.531632908	19036.5561	50079.52969	
489	4.538884721	18673.38871	49048.27581	
490	4.546136534	18317.69979	48039.83516	
491	4.553388347	17969.32389	47053.66808	
492	4.56064016	17628.09949	46089.24854	
493	4.567891973	17293.86888	45146.06371	
494	4.575143786	16966.47807	44223.61364	
495	4.582395599	16645.7767	43321.41093	
496	4.589647412	16331.61793	42438.98034	
497	4.596899225	16023.85838	41575.85856	
498	4.604151038	15722.35803	40731.5938	
499	4.611402851	15426.98013	39905.74554	
500	4.618654664	15137.59113	39097.88421	
501	4.625906477	14854.06059	38307.59093	
502	4.63315829	14576.26111	37534.45717	
503	4.640410103	14304.06824	36778.08456	
504	4.647661915	14037.36045	36038.08454	
505	4.654913728	13776.019	35314.07816	
506	4.662165541	13519.92791	34605.69581	
507	4.669417354	13268.97388	33912.57696	
508	4.676669167	13023.04622	33234.36995	
509	4.68392098	12782.03678	32570.73174	
510	4.691172793	12545.83993	31921.32771	
511	4.698424606	12314.35243	31285.8314	
512	4.705676419	12087.47343	30663.92433	
513	4.712928232	11865.10439	30055.2958	
514	4.720180045	11647.14901	29459.64266	
515	4.727431858	11433.51319	28876.66912	
516	4.734683671	11224.10498	28306.0866	
517	4.741935484	11018.83454	27747.61347	
518	4.749187297	10817.61404	27200.97496	
519	4.75643911	10620.35765	26665.90291	
520	4.763690923	10426.98151	26142.13563	
521	4.770942736	10237.40364	25629.41776	
522	4.778194549	10051.54389	25127.50006	
523	4.785446362	9869.323962	24636.13927	
524	4.792698175	9690.667288	24155.09798	
525	4.799949987	9515.499035	23684.14446	
526	4.8072018	9343.74605	23223.05253	
527	4.814453613	9175.336817	22771.60138	
528	4.821705426	9010.201423	22329.5755	
529	4.828957239	8848.271518	21896.76448	
530	4.836209052	8689.480278	21472.96294	
531	4.843460865	8533.762367	21057.97035	
532	4.850712678	8381.053905	20651.59094	
533	4.857964491	8231.29243	20253.63358	
534	4.865216304	8084.416867	19863.91165	
535	4.872468117	7940.367496	19482.24293	
536	4.87971993	7799.085914	19108.44949	
537	4.886971743	7660.515013	18742.3576	
538	4.894223556	7524.598941	18383.7976	
539	4.901475369	7391.283079	18032.60382	
540	4.908727182	7260.514009	17688.61444	
541	4.915978995	7132.239486	17351.67147	
542	4.923230808	7006.40841	17021.62058	
543	4.930482621	6882.970802	16698.31104	
544	4.937734434	6761.877773	16381.59564	
545	4.944986247	6643.081506	16071.33058	
546	4.95223806	6526.535223	15767.37541	
547	4.959489872	6412.193165	15469.59295	
548	4.966741685	6300.010571	15177.84915	
549	4.973993498	6189.943648	14892.01311	
550	4.981245311	6081.949554	14611.95692	
551	4.988497124	5975.986376	14337.55563	
552	4.995748937	5872.013104	14068.68716	
